species,group_ids,gene_identifiers,pathway_id,pathway_id_for_species,pathway_name,pathway_class,gene_names,ncbi_id,uniprot_id,ko_number,ec_number
ath,ko00630,c-NAD-MDH2|Lactate/malate dehydrogenase family protein|ncbi=AT5G43330|AT5G43330,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,c-NAD-MDH2|Lactate/malate dehydrogenase family protein,AT5G43330,,KO:K00025,EC:1.1.1.37
ath,ko00630,MDH|malate dehydrogenase|ncbi=AT3G47520|AT3G47520,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,MDH|malate dehydrogenase,AT3G47520,,KO:K00026,EC:1.1.1.37
ath,ko00630,mMDH1|Lactate/malate dehydrogenase family protein|ncbi=AT1G53240|AT1G53240,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,mMDH1|Lactate/malate dehydrogenase family protein,AT1G53240,,KO:K00026,EC:1.1.1.37
ath,ko00630,PMDH1|peroxisomal NAD-malate dehydrogenase 1|ncbi=AT2G22780|AT2G22780,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,PMDH1|peroxisomal NAD-malate dehydrogenase 1,AT2G22780,,KO:K00026,EC:1.1.1.37
ath,ko00630,mMDH2|Lactate/malate dehydrogenase family protein|ncbi=AT3G15020|AT3G15020,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,mMDH2|Lactate/malate dehydrogenase family protein,AT3G15020,,KO:K00026,EC:1.1.1.37
ath,ko00630,PMDH2|peroxisomal NAD-malate dehydrogenase 2|ncbi=AT5G09660|AT5G09660,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,PMDH2|peroxisomal NAD-malate dehydrogenase 2,AT5G09660,,KO:K00026,EC:1.1.1.37
ath,ko00630,CSY3|citrate synthase 3|ncbi=AT2G42790|AT2G42790,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,CSY3|citrate synthase 3,AT2G42790,,KO:K01647,EC:2.3.3.1
ath,ko00630,CSY1|citrate synthase 1|ncbi=AT3G58740|AT3G58740,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,CSY1|citrate synthase 1,AT3G58740,,KO:K01647,EC:2.3.3.1
ath,ko00630,CSY2|citrate synthase 2|ncbi=AT3G58750|AT3G58750,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,CSY2|citrate synthase 2,AT3G58750,,KO:K01647,EC:2.3.3.1
ath,ko00630,CSY5|citrate synthase 5|ncbi=AT3G60100|AT3G60100,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,CSY5|citrate synthase 5,AT3G60100,,KO:K01647,EC:2.3.3.1
ath,ko00630,ATCS|Citrate synthase family protein|ncbi=AT2G44350|AT2G44350,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,ATCS|Citrate synthase family protein,AT2G44350,,KO:K01647,EC:2.3.3.1
ath,ko00630,ACO1|aconitase 1|ncbi=AT4G35830|AT4G35830,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,ACO1|aconitase 1,AT4G35830,,KO:K01681,EC:4.2.1.3
ath,ko00630,ACO3|aconitase 3|ncbi=AT2G05710|AT2G05710,ko00630,ath00630,Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress),Metabolism; Carbohydrate metabolism,ACO3|aconitase 3,AT2G05710,,KO:K01681,EC:4.2.1.3
